dt = 0.025
tf = 5
len = 201
ho = 1.0
xoptimal = 
    0.500000,    0.000000,    0.500000,    1.000000,    0.000000,    0.000000,    0.000000,    0.000000,
    0.499999,   -0.000752,    0.498501,    1.000753,   -0.000097,   -0.057814,   -0.116408,    0.057988,
    0.499990,   -0.002782,    0.494347,    1.002798,   -0.000775,   -0.102610,   -0.212668,    0.103800,
    0.499951,   -0.005789,    0.488022,    1.005859,   -0.002599,   -0.136184,   -0.290399,    0.139588,
    0.499847,   -0.009513,    0.479968,    1.009708,   -0.006068,   -0.160289,   -0.351293,    0.167056,
    0.499631,   -0.013738,    0.470583,    1.014154,   -0.011590,   -0.176598,   -0.397080,    0.187568,
    0.499248,   -0.018291,    0.460225,    1.019038,   -0.019460,   -0.186668,   -0.429501,    0.202234,
    0.498636,   -0.023032,    0.449205,    1.024225,   -0.029858,   -0.191910,   -0.450276,    0.211977,
    0.497733,   -0.027856,    0.437794,    1.029602,   -0.042851,   -0.193565,   -0.461082,    0.217584,
    0.496472,   -0.032689,    0.426221,    1.035076,   -0.058409,   -0.192692,   -0.463526,    0.219743,
    0.494792,   -0.037477,    0.414675,    1.040566,   -0.076418,   -0.190167,   -0.459130,    0.219068,
    0.492633,   -0.042189,    0.403310,    1.046010,   -0.096698,   -0.186683,   -0.449314,    0.216111,
    0.489940,   -0.046808,    0.392244,    1.051357,   -0.119022,   -0.182769,   -0.435386,    0.211375,
    0.486667,   -0.051327,    0.381565,    1.056568,   -0.143129,   -0.178804,   -0.418537,    0.205311,
    0.482771,   -0.055750,    0.371332,    1.061615,   -0.168742,   -0.175033,   -0.399836,    0.198323,
    0.478219,   -0.060082,    0.361580,    1.066479,   -0.195571,   -0.171598,   -0.380232,    0.190763,
    0.472985,   -0.064333,    0.352321,    1.071151,   -0.223329,   -0.168549,   -0.360550,    0.182932,
    0.467047,   -0.068512,    0.343548,    1.075626,   -0.251733,   -0.165872,   -0.341505,    0.175081,
    0.460395,   -0.072629,    0.335236,    1.079906,   -0.280512,   -0.163504,   -0.323691,    0.167406,
    0.453021,   -0.076689,    0.327348,    1.083999,   -0.309406,   -0.161352,   -0.307604,    0.160055,
    0.444926,   -0.080698,    0.319838,    1.087912,   -0.338170,   -0.159307,   -0.293637,    0.153130,
    0.436115,   -0.084655,    0.312646,    1.091659,   -0.366577,   -0.157253,   -0.282088,    0.146689,
    0.426602,   -0.088559,    0.305711,    1.095251,   -0.394415,   -0.155082,   -0.273169,    0.140753,
    0.416401,   -0.092407,    0.298965,    1.098701,   -0.421491,   -0.152696,   -0.267011,    0.135311,
    0.405535,   -0.096192,    0.292337,    1.102020,   -0.447632,   -0.150014,   -0.263673,    0.130327,
    0.394028,   -0.099905,    0.285758,    1.105221,   -0.472683,   -0.146976,   -0.263146,    0.125744,
    0.381911,   -0.103537,    0.279157,    1.108310,   -0.496510,   -0.143540,   -0.265365,    0.121494,
    0.369214,   -0.107078,    0.272468,    1.111297,   -0.518998,   -0.139687,   -0.270211,    0.117500,
    0.355973,   -0.110518,    0.265626,    1.114187,   -0.540057,   -0.135416,   -0.277520,    0.113683,
    0.342224,   -0.113846,    0.258573,    1.116982,   -0.559611,   -0.130740,   -0.287094,    0.109965,
    0.328005,   -0.117052,    0.251254,    1.119685,   -0.577611,   -0.125687,   -0.298703,    0.106274,
    0.313357,   -0.120127,    0.243623,    1.122296,   -0.594024,   -0.120295,   -0.312095,    0.102547,
    0.298317,   -0.123064,    0.235637,    1.124812,   -0.608837,   -0.114610,   -0.327001,    0.098728,
    0.282928,   -0.125856,    0.227262,    1.127231,   -0.622053,   -0.108677,   -0.343143,    0.094772,
    0.267228,   -0.128496,    0.218472,    1.129549,   -0.633695,   -0.102546,   -0.360238,    0.090648,
    0.251256,   -0.130982,    0.209245,    1.131762,   -0.643796,   -0.096262,   -0.378005,    0.086331,
